Well,Sample,farm,biorep,techrep,copies/rxn,gene,integrator,type,antibiotic,matrix,copies/g,Classification
D04,10P_1,10,1,1,989.5225473,16S,1,GF,yes,manure,1979045.095,1-GF
D05,10P_1,10,1,2,1004.096787,16S,1,GF,yes,manure,2008193.574,1-GF
D06,10P_1,10,1,3,1035.513389,16S,1,GF,yes,manure,2071026.778,1-GF
E04,10P_2,10,2,1,1401.4506,16S,1,GF,yes,manure,2802901.2,1-GF
E05,10P_2,10,2,2,1424.957729,16S,1,GF,yes,manure,2849915.458,1-GF
E06,10P_2,10,2,3,1375.148976,16S,1,GF,yes,manure,2750297.952,1-GF
F04,10P_3,10,3,1,2597.190372,16S,1,GF,yes,manure,5194380.744,1-GF
F05,10P_3,10,3,2,2819.806112,16S,1,GF,yes,manure,5639612.224,1-GF
F06,10P_3,10,3,3,2667.826289,16S,1,GF,yes,manure,5335652.578,1-GF
G04,11P_1,11,1,1,13090.42609,16S,1,WF,yes,manure,26180852.18,1-WF
G05,11P_1,11,1,2,12484.20339,16S,1,WF,yes,manure,24968406.78,1-WF
G06,11P_1,11,1,3,13276.35769,16S,1,WF,yes,manure,26552715.38,1-WF
H04,11P_2,11,2,1,15108.60677,16S,1,WF,yes,manure,30217213.54,1-WF
H05,11P_2,11,2,2,15708.75914,16S,1,WF,yes,manure,31417518.28,1-WF
H06,11P_2,11,2,3,15629.18244,16S,1,WF,yes,manure,31258364.88,1-WF
A07,11P_3,11,3,1,16820.19183,16S,1,WF,yes,manure,33640383.66,1-WF
A08,11P_3,11,3,2,16030.53504,16S,1,WF,yes,manure,32061070.08,1-WF
A09,11P_3,11,3,3,16421.10739,16S,1,WF,yes,manure,32842214.78,1-WF
B07,12P_1,12,1,1,1805.852536,16S,1,WF,yes,manure,3611705.072,1-WF
B08,12P_1,12,1,2,1958.301644,16S,1,WF,yes,manure,3916603.288,1-WF
B09,12P_1,12,1,3,1946.158386,16S,1,WF,yes,manure,3892316.772,1-WF
C07,12P_2,12,2,1,3848.159209,16S,1,WF,yes,manure,7696318.418,1-WF
C08,12P_2,12,2,2,3905.465848,16S,1,WF,yes,manure,7810931.696,1-WF
C09,12P_2,12,2,3,3900.09868,16S,1,WF,yes,manure,7800197.36,1-WF
D07,12P_3,12,3,1,3740.470717,16S,1,WF,yes,manure,7480941.434,1-WF
D08,12P_3,12,3,2,3661.24322,16S,1,WF,yes,manure,7322486.44,1-WF
D09,12P_3,12,3,3,3663.323494,16S,1,WF,yes,manure,7326646.988,1-WF
E07,13P_1,13,1,1,200782.0337,16S,2,GF,yes,manure,401564067.4,2-GF
E08,13P_1,13,1,2,195514.6422,16S,2,GF,yes,manure,391029284.4,2-GF
E09,13P_1,13,1,3,195818.0146,16S,2,GF,yes,manure,391636029.2,2-GF
F07,13P_2,13,2,1,211181.2679,16S,2,GF,yes,manure,422362535.8,2-GF
F08,13P_2,13,2,2,185663.4019,16S,2,GF,yes,manure,371326803.8,2-GF
F09,13P_2,13,2,3,203536.8377,16S,2,GF,yes,manure,407073675.4,2-GF
G07,13P_3,13,3,1,208633.9742,16S,2,GF,yes,manure,417267948.4,2-GF
G08,13P_3,13,3,2,210247.3334,16S,2,GF,yes,manure,420494666.8,2-GF
G09,13P_3,13,3,3,208687.2209,16S,2,GF,yes,manure,417374441.8,2-GF
H07,14P_1,14,1,1,24707.80855,16S,1,WF,yes,manure,49415617.1,1-WF
H08,14P_1,14,1,2,23799.87993,16S,1,WF,yes,manure,47599759.86,1-WF
H09,14P_1,14,1,3,24226.90815,16S,1,WF,yes,manure,48453816.3,1-WF
A10,14P_2,14,2,1,13121.90383,16S,1,WF,yes,manure,26243807.66,1-WF
A11,14P_2,14,2,2,13320.95389,16S,1,WF,yes,manure,26641907.78,1-WF
A12,14P_2,14,2,3,12459.67566,16S,1,WF,yes,manure,24919351.32,1-WF
B10,14P_3,14,3,1,9693.119688,16S,1,WF,yes,manure,19386239.38,1-WF
B11,14P_3,14,3,2,9479.869408,16S,1,WF,yes,manure,18959738.82,1-WF
B12,14P_3,14,3,3,8967.060429,16S,1,WF,yes,manure,17934120.86,1-WF
C10,15P_1,15,1,1,6671.9735,16S,1,WF,yes,manure,13343947,1-WF
C11,15P_1,15,1,2,6592.824658,16S,1,WF,yes,manure,13185649.32,1-WF
C12,15P_1,15,1,3,6168.051192,16S,1,WF,yes,manure,12336102.38,1-WF
D10,15P_2,15,2,1,5714.869944,16S,1,WF,yes,manure,11429739.89,1-WF
